LIBRARY	PRECISION	POLICY	PLACES	DIM	GFLOPS	SYNTH
MKL	DP	CLOSE	CORE	11000	710,5731	DP-CLOSE
MKL	DP	CLOSE	CORE	12000	754,7503	DP-CLOSE
MKL	DP	CLOSE	CORE	13000	686,3933	DP-CLOSE
MKL	DP	CLOSE	CORE	14000	581,202	DP-CLOSE
MKL	DP	CLOSE	CORE	15000	627,1529	DP-CLOSE
MKL	DP	CLOSE	CORE	16000	817,135	DP-CLOSE
MKL	DP	CLOSE	CORE	17000	653,0029	DP-CLOSE
MKL	DP	CLOSE	CORE	18000	630,5436	DP-CLOSE
MKL	DP	CLOSE	CORE	19000	626,0146	DP-CLOSE
MKL	DP	CLOSE	CORE	20000	674,8592	DP-CLOSE
